user_id,post_id,interaction_type
78guxwtzgtgpskij51om7t66awmqxznr6p7ogonfohoags6ahc5y,2Z1N8QBETRYG0,TAGGED
78guxwtzgtgpskij51om7t66awmqxznr6p7ogonfohoags6ahc5y,2Z1N8QBETRYG0,TAGGED
78guxwtzgtgpskij51om7t66awmqxznr6p7ogonfohoags6ahc5y,2Z1N8QBETRYG0,TAGGED
78guxwtzgtgpskij51om7t66awmqxznr6p7ogonfohoags6ahc5y,2Z1N8QBET4BG0,TAGGED
78guxwtzgtgpskij51om7t66awmqxznr6p7ogonfohoags6ahc5y,2Z1N8QBET4BG0,TAGGED
78guxwtzgtgpskij51om7t66awmqxznr6p7ogonfohoags6ahc5y,2Z1N8QBERF700,TAGGED
78guxwtzgtgpskij51om7t66awmqxznr6p7ogonfohoags6ahc5y,2Z1N8QBERF700,TAGGED
78guxwtzgtgpskij51om7t66awmqxznr6p7ogonfohoags6ahc5y,2Z1N8QBERF700,TAGGED
78guxwtzgtgpskij51om7t66awmqxznr6p7ogonfohoags6ahc5y,2Z1N8QBERF700,TAGGED
78guxwtzgtgpskij51om7t66awmqxznr6p7ogonfohoags6ahc5y,2Z1N8QBERF700,TAGGED
78guxwtzgtgpskij51om7t66awmqxznr6p7ogonfohoags6ahc5y,2Z1N8QBERF700,TAGGED
78guxwtzgtgpskij51om7t66awmqxznr6p7ogonfohoags6ahc5y,2Z1N8QBERF700,TAGGED
78guxwtzgtgpskij51om7t66awmqxznr6p7ogonfohoags6ahc5y,2Z1N8QBESAF00,TAGGED
78guxwtzgtgpskij51om7t66awmqxznr6p7ogonfohoags6ahc5y,2Z1N8QBESAF00,TAGGED
78guxwtzgtgpskij51om7t66awmqxznr6p7ogonfohoags6ahc5y,2Z1N8QBESAF00,TAGGED
78guxwtzgtgpskij51om7t66awmqxznr6p7ogonfohoags6ahc5y,2Z1N8QBESAF00,TAGGED
78guxwtzgtgpskij51om7t66awmqxznr6p7ogonfohoags6ahc5y,2Z1N8QBESAF00,TAGGED
78guxwtzgtgpskij51om7t66awmqxznr6p7ogonfohoags6ahc5y,2Z1N8QBESAF00,TAGGED
78guxwtzgtgpskij51om7t66awmqxznr6p7ogonfohoags6ahc5y,2Z1N8QBESAF00,TAGGED
78guxwtzgtgpskij51om7t66awmqxznr6p7ogonfohoags6ahc5y,2Z1N8QBESAF00,TAGGED
78guxwtzgtgpskij51om7t66awmqxznr6p7ogonfohoags6ahc5y,2Z1N8QBESAF00,TAGGED
78guxwtzgtgpskij51om7t66awmqxznr6p7ogonfohoags6ahc5y,2Z1N8QBESNE00,TAGGED
78guxwtzgtgpskij51om7t66awmqxznr6p7ogonfohoags6ahc5y,2Z1N8QBESNE00,TAGGED
78guxwtzgtgpskij51om7t66awmqxznr6p7ogonfohoags6ahc5y,2Z1N8QBESNE00,TAGGED
78guxwtzgtgpskij51om7t66awmqxznr6p7ogonfohoags6ahc5y,2Z1N8QBESNE00,TAGGED
78guxwtzgtgpskij51om7t66awmqxznr6p7ogonfohoags6ahc5y,2Z1N8QBESVC00,TAGGED
78guxwtzgtgpskij51om7t66awmqxznr6p7ogonfohoags6ahc5y,2Z1N8QBESVC00,TAGGED
78guxwtzgtgpskij51om7t66awmqxznr6p7ogonfohoags6ahc5y,2Z1N8QBESVC00,TAGGED
78guxwtzgtgpskij51om7t66awmqxznr6p7ogonfohoags6ahc5y,2Z1N8QBET1P00,TAGGED
78guxwtzgtgpskij51om7t66awmqxznr6p7ogonfohoags6ahc5y,2Z1N8QBET1P00,TAGGED
78guxwtzgtgpskij51om7t66awmqxznr6p7ogonfohoags6ahc5y,2Z1N8QBET1P00,TAGGED
78guxwtzgtgpskij51om7t66awmqxznr6p7ogonfohoags6ahc5y,2Z1N8QBET1P00,TAGGED
78guxwtzgtgpskij51om7t66awmqxznr6p7ogonfohoags6ahc5y,2Z1N8QBET1P00,TAGGED
78guxwtzgtgpskij51om7t66awmqxznr6p7ogonfohoags6ahc5y,2Z1N8QBET1P00,TAGGED
78guxwtzgtgpskij51om7t66awmqxznr6p7ogonfohoags6ahc5y,2Z1N8QBET1P00,TAGGED
78guxwtzgtgpskij51om7t66awmqxznr6p7ogonfohoags6ahc5y,2Z1N8QBET4BG0,TAGGED
78guxwtzgtgpskij51om7t66awmqxznr6p7ogonfohoags6ahc5y,2Z1N8QBET4BG0,TAGGED
78guxwtzgtgpskij51om7t66awmqxznr6p7ogonfohoags6ahc5y,2Z1N8QBET4BG0,TAGGED
78guxwtzgtgpskij51om7t66awmqxznr6p7ogonfohoags6ahc5y,2Z1N8QBET4BG0,TAGGED
7hq56kap6exmhghyedrw1q3ar8b1wutomq8ax9eazhajcpdfx3so,2Z1N8QBETEYG0,TAGGED
7hq56kap6exmhghyedrw1q3ar8b1wutomq8ax9eazhajcpdfx3so,2Z1N8QBETP6G0,TAGGED
7hq56kap6exmhghyedrw1q3ar8b1wutomq8ax9eazhajcpdfx3so,2Z1N8QBETP6G0,TAGGED
7hq56kap6exmhghyedrw1q3ar8b1wutomq8ax9eazhajcpdfx3so,2Z1N8QBETP6G0,TAGGED
7hq56kap6exmhghyedrw1q3ar8b1wutomq8ax9eazhajcpdfx3so,2Z1N8QBETP6G0,TAGGED
7hq56kap6exmhghyedrw1q3ar8b1wutomq8ax9eazhajcpdfx3so,2Z1N8QBETP6G0,TAGGED
7hq56kap6exmhghyedrw1q3ar8b1wutomq8ax9eazhajcpdfx3so,2Z1N8QBETP6G0,TAGGED
7hq56kap6exmhghyedrw1q3ar8b1wutomq8ax9eazhajcpdfx3so,2Z1N8QBETP6G0,TAGGED
7hq56kap6exmhghyedrw1q3ar8b1wutomq8ax9eazhajcpdfx3so,2Z1N8QBETP6G0,TAGGED
7hq56kap6exmhghyedrw1q3ar8b1wutomq8ax9eazhajcpdfx3so,2Z1N8QBETEYG0,TAGGED
7hq56kap6exmhghyedrw1q3ar8b1wutomq8ax9eazhajcpdfx3so,2Z1N8QBERQ9G0,TAGGED
7hq56kap6exmhghyedrw1q3ar8b1wutomq8ax9eazhajcpdfx3so,2Z1N8QBERQ9G0,TAGGED
7hq56kap6exmhghyedrw1q3ar8b1wutomq8ax9eazhajcpdfx3so,2Z1N8QBERQ9G0,TAGGED
7hq56kap6exmhghyedrw1q3ar8b1wutomq8ax9eazhajcpdfx3so,2Z1N8QBERQ9G0,TAGGED
7hq56kap6exmhghyedrw1q3ar8b1wutomq8ax9eazhajcpdfx3so,2Z1N8QBERQ9G0,TAGGED
7hq56kap6exmhghyedrw1q3ar8b1wutomq8ax9eazhajcpdfx3so,2Z1N8QBERTQG0,TAGGED
7hq56kap6exmhghyedrw1q3ar8b1wutomq8ax9eazhajcpdfx3so,2Z1N8QBERTQG0,TAGGED
7hq56kap6exmhghyedrw1q3ar8b1wutomq8ax9eazhajcpdfx3so,2Z1N8QBERTQG0,TAGGED
7hq56kap6exmhghyedrw1q3ar8b1wutomq8ax9eazhajcpdfx3so,2Z1N8QBERTQG0,TAGGED
7hq56kap6exmhghyedrw1q3ar8b1wutomq8ax9eazhajcpdfx3so,2Z1N8QBERTQG0,TAGGED
7hq56kap6exmhghyedrw1q3ar8b1wutomq8ax9eazhajcpdfx3so,2Z1N8QBERTQG0,TAGGED
7hq56kap6exmhghyedrw1q3ar8b1wutomq8ax9eazhajcpdfx3so,2Z1N8QBESRFG0,TAGGED
7hq56kap6exmhghyedrw1q3ar8b1wutomq8ax9eazhajcpdfx3so,2Z1N8QBESRFG0,TAGGED
7hq56kap6exmhghyedrw1q3ar8b1wutomq8ax9eazhajcpdfx3so,2Z1N8QBESRFG0,TAGGED
7hq56kap6exmhghyedrw1q3ar8b1wutomq8ax9eazhajcpdfx3so,2Z1N8QBESRFG0,TAGGED
7hq56kap6exmhghyedrw1q3ar8b1wutomq8ax9eazhajcpdfx3so,2Z1N8QBESRFG0,TAGGED
7hq56kap6exmhghyedrw1q3ar8b1wutomq8ax9eazhajcpdfx3so,2Z1N8QBESRFG0,TAGGED
7hq56kap6exmhghyedrw1q3ar8b1wutomq8ax9eazhajcpdfx3so,2Z1N8QBESRFG0,TAGGED
7hq56kap6exmhghyedrw1q3ar8b1wutomq8ax9eazhajcpdfx3so,2Z1N8QBET6PG0,TAGGED
